frames,return
0,28.718827200467057
10000,31.9158684195223
20000,45.92234694047802
30000,85.45379627504299
40000,124.6312858225574
50000,149.4435878346412
60000,1611.6610090260788
70000,1794.9151976380892
80000,1808.3619468780716
90000,1764.5099702744485
100000,1938.4093307024134
110000,2110.5607818542376
120000,2178.6485315164723
130000,2207.7597847964807
140000,2212.928427735822
150000,2257.8161013299746
160000,2324.1360386445845
170000,2345.553016470428
180000,2345.198084301423
190000,2349.8203645005633
200000,2411.798511673028
210000,2410.4216511148697
220000,2235.4626878347235
230000,2401.1538002232287
240000,2385.2237287942885
250000,2419.05251036849
260000,2444.291032760457
270000,2445.4489142364973
280000,2454.332552599875
290000,2387.2332349263393
300000,2429.2969037489106
310000,2406.3499302761356
320000,2449.725281135542
330000,2439.211619054514
340000,2457.6164264654462
350000,2479.1165748347967
360000,2468.0332512643035
370000,2512.040742574505
380000,2583.2635431226095
390000,2574.110617024552
400000,2588.4125255632143
410000,2593.717914492664
420000,2587.506516660429
430000,2566.612172254022
440000,2608.579286844841
450000,2616.482941863213
460000,2638.6501390757808
470000,2631.4796070664447
480000,2615.6211556906956
490000,2659.740822716209
500000,2637.956387355417
510000,2623.64171125472
520000,2653.208984021188
530000,2690.914493214071
540000,2646.6872398306596
550000,2693.421772050299
560000,2705.9723453241018
570000,2699.1168561685126
580000,2684.2602434498763
590000,2667.780743529889
600000,2654.1574793773193
610000,2718.6786397295273
620000,2729.7369624631215
630000,2716.5172444146
640000,2730.673160031565
650000,2734.2300199073006
660000,2756.7289541936025
670000,2766.8562541204947
680000,2751.3072785997797
690000,2726.165037027166
700000,2712.9989031712844
710000,2727.507560874431
720000,2743.9348359066867
730000,2686.965677255702
740000,2635.730343838139
750000,2691.58858941264
760000,2728.7951477926576
770000,2747.4089551661878
780000,2699.2516825648345
790000,2700.1441710349786
800000,2729.8305417308525
810000,2723.848196926734
820000,2720.131855682976
830000,2746.943206659033
840000,2736.1974805137684
850000,2731.3456557821687
860000,2754.6059825652865
870000,2703.6830016941963
880000,2718.378330029013
890000,2763.9791202059755
900000,2734.5742046935798
910000,2754.633593723237
920000,1108.0922341521857
930000,2845.6506673779854
940000,2799.7630625675924
950000,2785.1830965581044
960000,2390.1753327017936
970000,2776.471932666444
980000,2733.5276401211586
990000,2738.4627197222394
1000000,2748.3014698452707
